date,case,sim-time,lane1,lane2,lane3,lane4,total
04-11-2025,GST1,300,136,115,24,29,304
04-11-2025,RST1,300,104,126,28,36,294
04-11-2025,GST1,300,135,101,35,28,299
04-11-2025,GST2,300,98,159,17,31,305
04-11-2025,TST1,300,109,112,29,40,290
04-11-2025,ATST1,300,136,112,35,17,300
04-11-2025,RST1,300,103,123,37,39,302
04-11-2025,ATST1,300,150,92,30,29,301
04-11-2025,TST1,300,117,113,27,41,298
06-11-2025,GST1,300,124,111,36,26,297
06-11-2025,GST2,300,122,119,19,28,288
06-11-2025,RST1,300,116,111,38,32,297
06-11-2025,ATST1,300,124,105,25,39,293
06-11-2025,TST1,300,110,124,36,35,305
06-11-2025,GST2,300,110,145,18,25,298
06-11-2025,GST1,300,125,136,27,35,323
06-11-2025,TST1,300,110,114,30,44,298
06-11-2025,ATST1,300,140,96,36,31,303
06-11-2025,GST2,300,121,128,14,26,289
06-11-2025,RST1,300,99,117,40,31,287
06-11-2025,GST2,300,105,141,21,18,285
06-11-2025,RST1,300,100,126,35,35,296
06-11-2025,ATST1,300,125,110,29,28,292
06-11-2025,TST1,300,116,114,26,35,291
06-11-2025,GST1,300,132,131,25,34,322
06-11-2025,GST2,300,118,141,13,32,304
06-11-2025,RST1,300,102,116,39,38,295
06-11-2025,ATST1,300,132,110,25,37,304
06-11-2025,TST1,300,106,121,38,33,298
06-11-2025,GST2,300,113,135,24,20,292
06-11-2025,RST1,300,106,121,36,37,300
06-11-2025,ATST1,300,129,124,27,27,307
06-11-2025,TST1,300,116,120,33,29,298
06-11-2025,GST1,300,125,108,26,36,295
06-11-2025,GST1,300,139,104,31,25,299
09-11-2025,GST2,300,124,126,23,29,302
09-11-2025,RST1,300,106,117,45,25,293
09-11-2025,ATST1,300,127,120,29,35,311
09-11-2025,TST1,300,105,120,39,41,305
10-11-2025,GST1,300,121,99,32,46,298
